Method,Diff,Time,AvgInc,AvgDrop
SPGIE,-0.0039,12.89s,26.80%, 1.28%
GradCAM,-0.0573,38.94s,15.50%, 8.44%
LIME-CNN,-0.1415,101.97s,11.00%,18.02%
LIME-Graph,-0.1369,198.34s,10.91%,17.77%
LIME-CNN,-0.0968,430.65s,16.10%,13.95%
LIME-Graph,-0.0950,815.94s,12.10%,13.07%
LIME-CNN,-0.0753,945.91s,18.10%,10.95%
LIME-Graph,-0.0630,2273.52s,16.31%, 9.56%
