Method,Diff,Time,AvgInc,AvgDrop
SPGIE,-0.0332,19.92s,18.90%, 6.98%
GradCAM,-0.0719,15.73s,19.30%,13.27%
LIME-CNN,-0.1343,78.25s,12.50%,17.87%
LIME-Graph,-0.1293,263.59s,11.92%,16.87%
